"exercise_id","exercise_name","priority","target_count","current_targets","targets_review_status","safety_review_status","media_review_status","youtube_video_id","queue_reason","reviewer_name","reviewed_at","decision_reason","evidence","ready_for_upsert"
"00569022-ffe4-4592-8552-813653b3a4f6","4 exercícios da fisio","P2","1","Mobilidade:primary:100","needs_review","not_in_scope","not_in_scope","M8NrjFZLHW4","single_target","","","","","false"
"66fb19d4-caf8-4a49-8c47-19e3758aa262","90/90 hip switch","P2","1","Mobilidade:primary:100","needs_review","not_in_scope","not_in_scope","F5owFeKgpoc","single_target","","","","","false"
"0681e77e-1e7f-4d90-8bf9-61b0b96755da","A-bounds (skip saltado)","P2","1","Performance:primary:100","needs_review","not_in_scope","not_in_scope","hiU9o_Rr6Tw","single_target","","","","","false"
"db1a5e49-0a06-41b1-94e2-41a1b83d5c74","Ab wheel rollout","P2","1","Core:primary:100","needs_review","needs_review","not_in_scope","A3uK5TPzHq8","single_target | safety_metadata_gap","","","","","false"
"acd1e2e2-39a0-4f00-bad8-c6cb8e674264","Abdominal Anti Rotação Polia","P2","1","Abdominais:primary:100","needs_review","needs_review","needs_review","7EtpXXdxPMc","single_target | safety_metadata_gap | duplicate_video_cluster","","","","","false"
"2f4377e5-6822-44b1-9d65-35bcdff31bf2","Abdominal Anti Rotação Polia Com Movimento","P2","1","Abdominais:primary:1","needs_review","needs_review","not_in_scope","mDvgk6RpFwo","single_target | safety_metadata_gap","","","","","false"
"0ec7c2d3-0455-412e-9754-d66bc36b63ac","Abdominal Canivete","P2","1","Abdominais:primary:1","needs_review","needs_review","not_in_scope","z8GJDUg9hgQ","single_target | safety_metadata_gap","","","","","false"
"913d8079-f45c-4391-8cf0-6ec97f0d209b","Abdominal Canivete Alternado","P2","1","Abdominais:primary:1","needs_review","needs_review","not_in_scope","mEDPvaJazSk","single_target | safety_metadata_gap","","","","","false"
"fc70d297-3dab-42dc-8017-eca87ec3c622","Abdominal Canoa","P2","1","Abdominais:primary:1","needs_review","needs_review","not_in_scope","g4f0nqqS9hE","single_target | safety_metadata_gap","","","","","false"
"614cd597-6d91-43ab-9ddf-ad438d084e1d","Abdominal Infra Banco Declinado","P2","1","Abdominais:primary:1","needs_review","needs_review","not_in_scope","c54PpzF8iEU","single_target | safety_metadata_gap","","","","","false"
"93609dd6-479d-42f1-b927-72b3511f161b","Abdominal Infra Máquina","P2","1","Abdominais:primary:1","needs_review","needs_review","needs_review","9EYiA8gbnRA","single_target | safety_metadata_gap | duplicate_video_cluster","","","","","false"
"2b6e19be-6b4d-44d6-af4b-04f7a09bef60","Abdominal Infra Solo","P2","1","Abdominais:primary:1","needs_review","needs_review","needs_review","9EYiA8gbnRA","single_target | safety_metadata_gap | duplicate_video_cluster","","","","","false"
"b44e0cd4-986f-4b0e-9a6b-f9cef0da7437","Abdominal Infra Suspenso","P2","1","Abdominais:primary:1","needs_review","needs_review","not_in_scope","ax3a7K_0QG8","single_target | safety_metadata_gap","","","","","false"
"2a186779-bd91-4f24-b1d8-906713246fb0","Abdominal Infra Suspenso com Rotação","P2","1","Abdominais:primary:1","needs_review","needs_review","not_in_scope","EZXGlubnXkQ","single_target | safety_metadata_gap","","","","","false"
"6175a7d8-333d-4e09-a539-1ea6b13e1b81","Abdominal Máquina","P2","1","Abdominais:primary:1","needs_review","needs_review","not_in_scope","D9nvaeELxb0","single_target | safety_metadata_gap","","","","","false"
"9c193276-7c38-4009-a259-2cf7cf1ee406","Abdominal Polia Alta com Corda","P2","1","Abdominais:primary:1","needs_review","needs_review","not_in_scope","zp6uK1aE1Lc","single_target | safety_metadata_gap","","","","","false"
"6049e35c-75b7-49f5-8cf9-db5983757985","Abdominal Remador","P2","1","Abdominais:primary:1","needs_review","needs_review","not_in_scope","gu1JXwb3dSs","single_target | safety_metadata_gap","","","","","false"
"b459d238-619c-4301-89c7-0e1694d448b5","Abdominal Rodinha","P2","1","Abdominais:primary:1","needs_review","needs_review","not_in_scope","vRi105QOGKU","single_target | safety_metadata_gap","","","","","false"
"91773d81-3cfe-4748-ad78-599ba2bffb59","Abdominal Supra Banco Declinado","P2","1","Abdominais:primary:1","needs_review","needs_review","not_in_scope","vdNB0pyj2Os","single_target | safety_metadata_gap","","","","","false"
"68a21d6e-f8ef-4307-adc7-d5399002393b","Abdominal Supra Bola","P2","1","Abdominais:primary:1","needs_review","needs_review","not_in_scope","pV97VpETcvc","single_target | safety_metadata_gap","","","","","false"
"17161c04-540a-441c-9e03-8d9f9aae7b97","Abdominal Supra Solo","P2","1","Abdominais:primary:1","needs_review","needs_review","not_in_scope","fhGI76QdK2A","single_target | safety_metadata_gap","","","","","false"
"7ac36eb1-8014-4034-9ce7-f2bd50a7ecbd","Abdominal Tesoura","P2","1","Abdominais:primary:1","needs_review","needs_review","not_in_scope","rBLNtJEWSQo","single_target | safety_metadata_gap","","","","","false"
"e789f3da-6de9-4be5-b039-adfb38f8a955","Abdução de Quadril com Caneleira","P2","1","Glúteo:primary:1","needs_review","needs_review","not_in_scope","H-IAR_GHxl0","single_target | safety_metadata_gap","","","","","false"
"b43da4eb-780e-4488-a5bc-ccb85e32c902","Abdução de Quadril com Miniband","P2","1","Glúteo:primary:1","needs_review","needs_review","not_in_scope","ptu1IDCO-Fc","single_target | safety_metadata_gap","","","","","false"
"c0aa51e9-82b6-40f0-af1f-cf32be16c1da","Abdução de Quadril Cruzada Polia","P2","1","Glúteo:primary:1","needs_review","needs_review","needs_review","MVP5ItqXNYs","single_target | safety_metadata_gap | duplicate_video_cluster","","","","","false"
"b4cb5f2a-9bb0-4cae-96ec-c851979635ad","Abdução de quadril em pé com banda","P2","1","Glúteo:primary:100","needs_review","needs_review","not_in_scope","ukW7wkohl8I","single_target | safety_metadata_gap","","","","","false"
