"cluster_id","youtube_video_id","exercise_id","exercise_name","media_review_status","decision","reviewer_name","reviewed_at","evidence"
"yt-044","pWGhRO5grqs","e439f3e2-3bc0-4e34-abb3-d225bab8d710","Crucifixo Unilateral em Prancha Lateral em Abdução","needs_review","","","",""
"yt-045","QrQYnMJTqRQ","8fb786df-8ccc-4223-bbea-5fec0fb06c49","Remada Curvada Pronada Barra","needs_review","","","",""
"yt-045","QrQYnMJTqRQ","90a3c261-85ad-46f5-9449-b4fd542a109e","Remada Curvada Pronada Barra com Rotação","needs_review","","","",""
"yt-046","re-ILvqD1RE","3cc40978-bc88-4d1c-88b4-670d761db741","Tríceps Polia Corda","needs_review","","","",""
"yt-046","re-ILvqD1RE","819d50d1-34ac-418b-a989-f71937578072","Tríceps Testa Polia Corda","needs_review","","","",""
"yt-046","re-ILvqD1RE","b5b7247a-e72d-4010-aec7-b0f21a8e5fa1","Biset Tríceps Polia + Inverso Polia Barra","needs_review","","","",""
"yt-046","re-ILvqD1RE","c4cd4956-93f0-4170-a2c9-753e459a7a80","Tríceps Testa Polia Barra","needs_review","","","",""
"yt-047","rEsnCJlHaN0","39cd91ca-af97-43a3-85ad-25d47721db10","Terra sumô","needs_review","","","",""
"yt-047","rEsnCJlHaN0","45912e02-399e-4442-8b13-365e834fab4b","Levantamento Terra Sumô","needs_review","","","",""
"yt-048","rmpVSw6wa5E","107cb28d-341d-4245-9bff-e687398d7c88","SL 2DB Box Clean","needs_review","","","",""
"yt-048","rmpVSw6wa5E","f347f55d-f778-480c-afc8-106198022b6d","SL DB Box Clean","needs_review","","","",""
"yt-049","tEkuKg62fhM","0b7f58e5-53ec-4b4d-9e15-11d7ca9d006c","Mobilidade de tornozelo/quadril","needs_review","","","",""
"yt-049","tEkuKg62fhM","957ea2e1-954d-4af7-8c95-8e08c43217e6","Mobilidade de Quadril e Tornozelo com Alongamento","needs_review","","","",""
"yt-050","ToE6yT5pHZ0","714ca533-7eee-4121-bc44-d76ecd2b9863","Pré Plio Unilateral","needs_review","","","",""
"yt-050","ToE6yT5pHZ0","94f78ab8-d580-4ce0-8392-d8ac0fc141b0","Glúteo Polia Alta","needs_review","","","",""
"yt-051","u_lE_VMnYfU","4bbcaec9-1ed8-4365-8573-1894c5e2cec4","Wall drive com banda no quadril","needs_review","","","",""
"yt-051","u_lE_VMnYfU","6dac4ab0-d5af-42ec-9dec-ea954a0387c1","Wall drive contínuo (rápido)","needs_review","","","",""
"yt-051","u_lE_VMnYfU","c2d07de8-c924-44d1-94b4-7338d2a5c4f4","Wall drive marcha (1 troca)","needs_review","","","",""
"yt-051","u_lE_VMnYfU","c93f9ae2-eca7-4cde-a34a-c4bed7f95087","Wall drive duplo (2 trocas)","needs_review","","","",""
"yt-052","U9y14C-iw1U","a23acdcd-c4b6-4678-a2c5-6f41dd3640ee","Drop jump bilateral + estab. uni","needs_review","","","",""
"yt-052","U9y14C-iw1U","e03a9284-f027-413c-a79f-32a2534581fc","Drop Jump Horizontal Bilateral","needs_review","","","",""
"yt-053","uQfzuKBMJeE","399b6084-25de-43ca-827c-20d746c0dbe0","Dead bug de ativação","needs_review","","","",""
"yt-053","uQfzuKBMJeE","4c1d784b-f68b-4eb3-b6b8-962733b0d4a8","Dead bug","needs_review","","","",""
"yt-053","uQfzuKBMJeE","cba7692e-3f67-4212-95f7-96bfcbe3753d","Dead bug","needs_review","","","",""
"yt-054","uUQKLqKMJSU","8296368d-a47e-427f-b138-6bf9340e5914","Prancha frontal","needs_review","","","",""
"yt-054","uUQKLqKMJSU","e5ffe3e1-2757-4ed7-ba87-a745d9a96c5d","Prancha Frontal","needs_review","","","",""
"yt-055","v-bItsW7fUI","d0c93be9-6ee3-420e-a34e-10ffe077d9f2","Agachamento Búlgaro com Step","needs_review","","","",""
"yt-055","v-bItsW7fUI","d5685718-8c7f-4230-83e2-6585e687924a","Búlgaro Variação 1","needs_review","","","",""
"yt-055","v-bItsW7fUI","e9d6bfd4-2980-45b9-beac-855bb6be8c0b","Agachamento Búlgaro Inclinado","needs_review","","","",""
"yt-056","VakpIeaaeXA","0d3eb594-ecb2-43e7-b70d-a8b272db3a42","Tríceps Testa Halteres Banco 45","needs_review","","","",""
"yt-056","VakpIeaaeXA","883f77a1-c25f-4626-aed5-9d18c8955508","Tríceps Testa Halteres Banco Reto","needs_review","","","",""
"yt-057","Vjtn6n_-sXo","10bc07ad-3778-4967-9c7f-e9eff2993ccf","Stiff com Barra Reta ( Romanian Deadlift )","needs_review","","","",""
"yt-057","Vjtn6n_-sXo","490b2080-ea0b-40bf-85bc-8613544d4140","Stiff","needs_review","","","",""
"yt-057","Vjtn6n_-sXo","e07a88c2-da55-42e7-935a-1b53261381c6","Stiff Barra","needs_review","","","",""
"yt-058","vtY9T1-j26Q","b431d92e-8371-43bc-b580-cf9572493f8a","Good morning","needs_review","","","",""
"yt-058","vtY9T1-j26Q","c916c624-2e7c-40b2-8195-4e5f8a4f2c3c","Bom dia","needs_review","","","",""
"yt-059","W54zDLDAUbQ","606fe07b-7696-428d-91b3-012863ca5554","Desenvolvimento Arnold em Pé","needs_review","","","",""
"yt-059","W54zDLDAUbQ","92da4db7-ec84-4aca-a2e5-432b4b204b3f","Rosca Arnold","needs_review","","","",""
"yt-060","WesVSdTPAAU","9838c0b0-1c55-4b7a-a4fe-241a1ad92422","Pulldown Aberto","needs_review","","","",""
"yt-060","WesVSdTPAAU","c85e058a-1e62-48e8-8e27-7bc988b82800","Pulldown","needs_review","","","",""
"yt-061","wo84GQdFvg4","658aa167-54ef-4662-bc7f-7883b7175af8","Recuo com Barra Reta ( afundo )","needs_review","","","",""
"yt-061","wo84GQdFvg4","7aebe25d-69d6-49b1-93f0-1f287fcfc15e","Afundo + joelho elevado","needs_review","","","",""
"yt-061","wo84GQdFvg4","97b12dd1-8de7-4b1a-909e-36ed4653528b","Split jump (afundo saltado)","needs_review","","","",""
"yt-061","wo84GQdFvg4","a720a814-089c-407e-9cda-b434a10ead49","Afundo pliométrico","needs_review","","","",""
"yt-061","wo84GQdFvg4","b875b1fa-e185-49f9-8ed8-4e998ba72b11","Afundo + panturrilha inclinada","needs_review","","","",""
"yt-062","Xi5voej2oa4","3b990b66-f39e-4954-8d21-0b644fd67bb9","Elevação Frontal Neutra Sentado","needs_review","","","",""
"yt-062","Xi5voej2oa4","e19e6c38-e490-464b-9e87-c6b3b37bc02c","Elevação Frontal Neutra para pronada sentado","needs_review","","","",""
"yt-062","Xi5voej2oa4","f42f0dfc-d75e-475f-bacb-ec5f05b321d5","Elevação Frontal Neutra Alternada Sentado","needs_review","","","",""
"yt-063","xJMpEiZ5q6c","a8e8cde0-087a-412f-acf9-652f53cfff84","Mobilidade quadril 90-90","needs_review","","","",""
"yt-063","xJMpEiZ5q6c","edca7177-f6c5-4906-8e21-8ba3d1c84eae","Mobilidade 90/90","needs_review","","","",""
"yt-064","YAyZS888Ugo","492b16f9-0ca8-4d87-a233-20a106b4a532","Bird dog","needs_review","","","",""
"yt-064","YAyZS888Ugo","99ec0aac-513c-46ce-b780-68183bc8cdbd","Bird dog","needs_review","","","",""
