"exercise_id","exercise_name","priority","target_count","current_targets","targets_review_status","safety_review_status","media_review_status","youtube_video_id","queue_reason","reviewer_name","reviewed_at","decision_reason","evidence","ready_for_upsert"
"a4579449-dbad-432e-ac9e-d5658f8d8a7a","Bird Dog com Remada","P1","1","Funcional:primary:100","needs_review","needs_review","not_in_scope","","single_target | safety_metadata_gap","","","","","false"
"86749ad4-f622-4978-9c84-9ed335b13cff","Biset Cross Over + Supino Banco 90","P1","3","Deltoide Anterior:secondary:0.5 | Tríceps:secondary:0.5 | Peitoral:primary:1","not_in_scope","needs_review","not_in_scope","S7gPqiPc5-g","safety_metadata_gap","","","","","false"
"826d88a4-7f2f-45bd-927f-5e5cc5910626","Biset Cross Over + Supino Inclinado Banco 45","P1","3","Deltoide Anterior:secondary:0.5 | Tríceps:secondary:0.5 | Peitoral:primary:1","not_in_scope","needs_review","needs_review","H_KrN4-AFFg","safety_metadata_gap | duplicate_video_cluster","","","","","false"
"63374ce3-a255-4e87-9c76-2e23cd15a4ec","Biset Cross Over + Supino Inclinado Neutro Banco 45","P1","3","Deltoide Anterior:secondary:0.5 | Tríceps:secondary:0.5 | Peitoral:primary:1","not_in_scope","needs_review","needs_review","H_KrN4-AFFg","safety_metadata_gap | duplicate_video_cluster","","","","","false"
"90c13080-6ab3-4b9c-982f-984c50e224bc","Biset Crucifixo Inclinado + Supino Inclinado Halteres","P1","3","Deltoide Anterior:secondary:0.5 | Tríceps:secondary:0.5 | Peitoral:primary:1","not_in_scope","needs_review","not_in_scope","MAHyyXroXDc","safety_metadata_gap","","","","","false"
"2ea75295-c1ce-495f-9d59-e2f5e94d72b2","Biset Remada Baixa Pronada + Supinada","P1","4","Dorsal:primary:1 | Deltoide Posterior:secondary:0.5 | Bíceps:secondary:0.5 | Trapézio:secondary:0.5","not_in_scope","needs_review","not_in_scope","pfgEEiouvAs","safety_metadata_gap","","","","","false"
"f6b33aae-c260-4759-b01c-ce85a045b9ab","Biset Tríceps Testa + Supino Fechado Barra","P1","3","Deltoide Anterior:secondary:0.5 | Tríceps:secondary:0.5 | Peitoral:primary:1","not_in_scope","needs_review","not_in_scope","LB-HVm8z0Co","safety_metadata_gap","","","","","false"
"64ea4d35-daa5-4d8a-916f-cdd3784d29e2","Biset Tríceps Testa + Supino Fechado Halteres","P1","3","Deltoide Anterior:secondary:0.5 | Tríceps:secondary:0.5 | Peitoral:primary:1","not_in_scope","needs_review","not_in_scope","iWS4hjowLEM","safety_metadata_gap","","","","","false"
"9d432dc8-0012-4184-85e6-6df33d9811e3","Bound lateral (salto lateral de propulsão)","P1","1","Performance:primary:100","needs_review","not_in_scope","not_in_scope","XnP9R17OEOQ","single_target","","","","","false"
"a89cb9b3-3499-415b-82ee-8d05d923013c","Broad jump (salto horizontal)","P1","1","Performance:primary:100","needs_review","not_in_scope","not_in_scope","mTGAT1KDjy0","single_target","","","","","false"
