"exercise_id","exercise_name","reconciliation_status","legacy_names","legacy_sources"
"6cf9d1c8-14d4-4785-8e37-96193e44557d","Elevação Lateral Peito no Banco","unchanged","Elevação Lateral Peito no Banco","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"6d12d3e8-472b-495a-af17-0ae077bed6ce","Fisio Joelho: salto em profundidade (energy storage)","unchanged","Fisio Joelho: salto em profundidade (energy storage)","docs/prescription/library-curation-v1-catalog-delta.csv"
"6d6cc96b-876b-494a-85e9-b3bc301d61f4","Med ball step and throw (passo e arremesso)","unchanged","Med ball step and throw (passo e arremesso)","docs/prescription/library-curation-v1-catalog-delta.csv"
"6dac4ab0-d5af-42ec-9dec-ea954a0387c1","Wall drive contínuo (rápido)","unchanged","Wall drive contínuo (rápido)","docs/prescription/library-curation-v1-catalog-delta.csv"
"6e9fdaca-5bfb-420c-b5bf-5beddcce6c05","Crucifixo Invertido Sentado","unchanged","Crucifixo Invertido Sentado","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"6f354269-311d-4878-b66c-27fc7090161e","Apoio unipodal no bosu","unchanged","Apoio unipodal no bosu","docs/prescription/library-curation-v1-catalog-delta.csv"
"6f5aa853-de66-47ad-8061-d488c6f6adf7","Flexão Fechada","unchanged","Flexão Fechada","docs/prescription/library-curation-v1-catalog-delta.csv"
"706142ca-78f8-4591-acc0-7b4018432b14","Mobilidade de quadril 3","new","",""
"709a6fe5-cab8-482a-b60d-35495ff6e275","Retração escapular na parede","new","",""
"71213b5c-f659-49a6-a29b-7895696a2b2b","Lift meio-ajoelhado","unchanged","Lift meio-ajoelhado","docs/prescription/library-curation-v1-catalog-delta.csv"
"713da3c2-14c9-4d74-8f7e-8a35d7ca21dd","Elevação Frontal Halteres Neutra","unchanged","Elevação Frontal Halteres Neutra","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"714ca533-7eee-4121-bc44-d76ecd2b9863","Pré Plio Unilateral","new","",""
"71a733f9-b478-45b2-ac4b-3e9f8ae2165c","Prancha + medball","new","",""
"72186f5e-8d3a-4f95-886a-88785e501294","Drop jump reativo (contato mínimo no solo)","unchanged","Drop jump reativo (contato mínimo no solo)","docs/prescription/library-curation-v1-catalog-delta.csv"
"721e4851-7b5b-47c4-8d90-a8315323ad40","Prancha na bola suíça","unchanged","Prancha na bola suíça","docs/prescription/library-curation-v1-catalog-delta.csv"
"72921c56-910a-4345-8b8d-26baf726516b","Elevação de Quadril Solo Unilateral","unchanged","Elevação de Quadril Solo Unilateral","docs/prescription/library-curation-v1-catalog-delta.csv"
"737b8377-e7a6-49e6-954c-644b435a97cd","Along. Panturrilha Unilateral","unchanged","Along. Panturrilha Unilateral","docs/prescription/library-curation-v1-catalog-delta.csv"
"73c71887-0b9f-47f9-9397-4a14d0d10844","Chop meio-ajoelhado (tall/half kneeling)","unchanged","Chop meio-ajoelhado (tall/half kneeling)","docs/prescription/library-curation-v1-catalog-delta.csv"
"743974e1-4d5d-4fd6-8e50-7609e86b707f","Mobilidade 90/90 completa","unchanged","Mobilidade 90/90 completa","docs/prescription/library-curation-v1-catalog-delta.csv"
"7512d746-8861-45b3-9242-800df83c8810","Flexão de Punho Unilateral Polia Alta","unchanged","Flexão de Punho Unilateral Polia Alta","docs/prescription/library-curation-v1-catalog-delta.csv"
"751e0fa2-335a-42d3-8bd9-21f4b587f7ac","SL RDF CLEAN ( stiff unipodal )","new","",""
"7531dfbc-5bd0-4d07-b8a3-b42e6c4a4416","Russian twist com peso","unchanged","Russian twist com peso","docs/prescription/library-curation-v1-catalog-delta.csv"
"754a5c3f-93a7-40c2-afe7-4b1e55ebe897","Apoio unipodal olhos fechados","unchanged","Apoio unipodal olhos fechados","docs/prescription/library-curation-v1-catalog-delta.csv"
"75649465-1319-48e0-bdfb-dc1ce93774af","Mobilidade quadril flexores/posterior","new","",""
"7565719f-c11a-4c3e-9c2f-533cd0f86b3c","Aterrissagem rotacional e estabiliza","unchanged","Aterrissagem rotacional e estabiliza","docs/prescription/library-curation-v1-catalog-delta.csv"
"759f84c5-4c58-4f67-a789-ec64fcc960e7","Biset Elevação Lateral Sentado 90 + Inclinada","unchanged","Biset Elevação Lateral Sentado 90 + Inclinada","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"75a0be3c-782a-43bd-b622-51bb4c2def59","Afundo Halteres com 2 Steps","unchanged","Afundo Halteres com 2 Steps","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"75be10d2-4087-4b4d-9a88-c04f9bdb1a30","Afundo Halteres","unchanged","Afundo Halteres","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"75cf318a-071a-47fe-8ba9-2ff21c68dcf2","Extensão de Quadril em Diagonal Miniband","unchanged","Extensão de Quadril em Diagonal Miniband","docs/prescription/library-curation-v1-catalog-delta.csv"
"7603535e-d772-4d15-a000-615d745703dc","Med ball slam frontal","unchanged","Med ball slam frontal","docs/prescription/library-curation-v1-catalog-delta.csv"
"76467db3-e397-4cb0-a1cb-3bb4fb2cf339","Quadruped rock back","unchanged","Quadruped rock back","docs/prescription/library-curation-v1-catalog-delta.csv"
"76540c36-8b73-4400-931a-7b7afc7d9bdd","Recuo Halteres com Step na Frente","unchanged","Recuo Halteres com Step na Frente","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"771c15b3-d144-4e5a-ac67-f93a0116fe5c","Serrote em pé","new","",""
"77208e72-8b6f-4fdc-99ca-42a18e2889d6","Desenvolvimento Neutro Halteres Sentado","unchanged","Desenvolvimento Neutro Halteres Sentado","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"77ecd1af-2960-4c99-b26a-dcfff9f66cdc","Prancha de Copenhagen Dinâmica","unchanged","Prancha de Copenhagen Dinâmica","docs/prescription/library-curation-v1-catalog-delta.csv"
"78b51c57-8c6b-4aba-8696-0716caaa3e9c","Afundo Barra Livre","unchanged","Afundo Barra Livre","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"78d913ba-0a6b-4dd1-8250-df13b74940a0","Agachamento livre com barra","unchanged","Agachamento livre com barra","docs/prescription/library-curation-v1-catalog-delta.csv"
"7a15e4ba-3866-4371-874d-25b7c94d9e1a","Prancha alta (Cadeia cruzada - Core)","new","",""
"7a360b5d-f93d-4864-ad2c-9cfedb42613f","Stir the pot na bola","unchanged","Stir the pot na bola","docs/prescription/library-curation-v1-catalog-delta.csv"
"7a4908fd-df45-44a4-bf30-c6f4a2958769","Fisio Punho: flexão/extensão de punho com peso","unchanged","Fisio Punho: flexão/extensão de punho com peso","docs/prescription/library-curation-v1-catalog-delta.csv"
"7a8976b1-789e-4ea7-b499-8b81ece87d25","Agachamento Cálice","unchanged","Agachamento Cálice","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"7ac36eb1-8014-4034-9ce7-f2bd50a7ecbd","Abdominal Tesoura","unchanged","Abdominal Tesoura","docs/prescription/library-curation-v1-catalog-delta.csv"
"7aebe25d-69d6-49b1-93f0-1f287fcfc15e","Afundo + joelho elevado","new","",""
"7b06658f-12bb-4cd4-b749-ac2c38c5dfc9","Elevação Lateral Máquina","unchanged","Elevação Lateral Máquina","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"7b60f329-d660-474c-a47f-1780c9c6f03b","Recuo Smith","unchanged","Recuo Smith","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"7bc7e3ba-a138-4a2b-b069-e6eb642ebe90","Panturrilha Sentado Máquina","unchanged","Panturrilha Sentado Máquina","docs/prescription/library-curation-v1-catalog-delta.csv"
"7bd6ccb0-1a4c-42c5-b7b2-6687526f81b2","Avanço com Barra Reta ( afundo )","new","",""
"7be698a4-1cac-468e-bfc0-ba79189768f9","Mobilidade 90-90 Rot. interna","new","",""
"7bfed90c-0875-45ea-af5e-beb5ce49cb60","Tríceps Testa Barra Solo","unchanged","Tríceps Testa Barra Solo","docs/prescription/library-curation-v1-catalog-delta.csv"
"7c4dd9a3-c6c2-4e9a-a896-42b7c9911ade","Desenvolvimento Barra Sentado","unchanged","Desenvolvimento Barra Sentado","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"7c6f882b-7fec-4979-8216-0cacf5cc2e4d","Agachamento no bosu","unchanged","Agachamento no bosu","docs/prescription/library-curation-v1-catalog-delta.csv"
"7c94db20-f60f-4222-b592-afcbd22468c1","Remada com Peito no Banco Neutra","unchanged","Remada com Peito no Banco Neutra","docs/prescription/library-curation-v1-catalog-delta.csv"
"7caad9cc-dce4-40b5-a9c7-455c7853570e","Cable crunch (abdominal na polia)","unchanged","Cable crunch (abdominal na polia)","docs/prescription/library-curation-v1-catalog-delta.csv"
"7cbab4b8-70cb-4bae-add3-e5f0ea95b220","Along. Levantador da Escápula","unchanged","Along. Levantador da Escápula","docs/prescription/library-curation-v1-catalog-delta.csv"
"7cf75d18-f767-4032-ba36-b3ffc33beaaa","Panturrilha Smith com Step","unchanged","Panturrilha Smith com Step","docs/prescription/library-curation-v1-catalog-delta.csv"
"7db05819-02d7-4f3a-8677-383c91fac948","Skater jumps (saltos de patinador)","unchanged","Skater jumps (saltos de patinador)","docs/prescription/library-curation-v1-catalog-delta.csv"
"7de14018-9e35-45e7-a3d1-27557b1042f7","Liberação da panturrilha com rolinho","new","",""
"7e8bf2c1-c96a-4ba5-8e2f-122e27ef1f55","Short foot","new","",""
"7ebb1e7c-0eef-4b61-835f-9969df952199","Halo - mobilidade superiores","new","",""
"7edea8df-450e-4ead-befd-adbd6efc207a","Elevação Pélvica Smith","unchanged","Elevação Pélvica Smith","docs/prescription/library-curation-v1-catalog-delta.csv"
"7f97f464-1f1d-47ba-9521-b2958f6714d1","Abs medball","new","",""
"7f9fbd65-d234-4b84-b198-faca46343915","Desenvolvimento Neutro Máquina","unchanged","Desenvolvimento Neutro Máquina","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"7fa7c63d-5642-4d41-acd3-f3e468e53370","Agachamento búlgaro","unchanged","Agachamento búlgaro","docs/prescription/library-curation-v1-catalog-delta.csv"
"801cfb45-c447-425b-aff0-26b5d87ce5d9","Along. Adutores Flexionado (Frog)","unchanged","Along. Adutores Flexionado (Frog)","docs/prescription/library-curation-v1-catalog-delta.csv"
"80653a6c-1c38-4e90-9805-d9c9e75eef83","Superman W e Y","unchanged","Superman W e Y","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"80b81c28-1269-481d-9d24-16b6b8c9b68e","Fisio Ombro: Prone Y-T-W-L","unchanged","Fisio Ombro: Prone Y-T-W-L","docs/prescription/library-curation-v1-catalog-delta.csv"
"810fcad7-7b7d-47e0-895e-1eb45aa2e852","Terra romeno unipodal (single-leg RDL)","unchanged","Terra romeno unipodal (single-leg RDL)","docs/prescription/library-curation-v1-catalog-delta.csv"
"819d50d1-34ac-418b-a989-f71937578072","Tríceps Testa Polia Corda","unchanged","Tríceps Testa Polia Corda","docs/prescription/library-curation-v1-catalog-delta.csv"
"81a10f69-c409-40f5-b41c-e50436b7ca50","Cadeira Extensora Unilateral","unchanged","Cadeira Extensora Unilateral","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"81bf8e7c-dbab-4002-8492-56f99adabf0f","Box jump sem contramovimento","new","",""
"81ccbed4-e39d-4a4e-bc95-71139de3273c","Mobilidade de Ombro Rotação Externa com Bastão","unchanged","Mobilidade de Ombro Rotação Externa com Bastão","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"81ebac28-3799-4ce2-8efd-9f28194b0d74","Burpee","unchanged","Burpee","docs/prescription/library-curation-v1-catalog-delta.csv"
"826d88a4-7f2f-45bd-927f-5e5cc5910626","Biset Cross Over + Supino Inclinado Banco 45","unchanged","Biset Cross Over + Supino Inclinado Banco 45","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"8296368d-a47e-427f-b138-6bf9340e5914","Prancha frontal","unchanged","Prancha frontal","docs/prescription/library-curation-v1-catalog-delta.csv"
"8327a63b-80c4-421a-97d4-7de1a4b667c5","RDL Polia","unchanged","RDL Polia","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"833e0423-bcfe-4393-bf44-933ca6793062","Barra Fixa Neutra","unchanged","Barra Fixa Neutra","docs/prescription/library-curation-v1-catalog-delta.csv"
"835cbbe6-27b8-45da-927f-109c1d316c7b","Hops reativos unipodais","unchanged","Hops reativos unipodais","docs/prescription/library-curation-v1-catalog-delta.csv"
"836f33a9-24ee-4ec9-adef-23d984bbdaf4","Mobilidade de Quadril e Tornozelo","unchanged","Mobilidade de Quadril e Tornozelo","docs/prescription/library-curation-v1-catalog-delta.csv"
"83a07881-8a15-452c-80ff-6a622ca72723","Recuo com Halteres ( afundo )","new","",""
"83aeb5e9-935b-4419-9e11-2192f9ed1794","Encolhimento Smith","unchanged","Encolhimento Smith","docs/prescription/library-curation-v1-catalog-delta.csv"
"84657c3f-895f-4892-b624-737b633f0ecf","Tríceps Paralela Máquina","unchanged","Tríceps Paralela Máquina","docs/prescription/library-curation-v1-catalog-delta.csv"
"8530bb18-166f-4ea1-a3f3-794737676d02","Mobilidade torácica com rotação e bastão","new","",""
"85570995-10cb-4b8e-9cf4-b7c454386410","Med ball arremesso rotacional na parede","unchanged","Med ball arremesso rotacional na parede","docs/prescription/library-curation-v1-catalog-delta.csv"
"855be8c3-f36b-4bad-abb5-37d04db61f8d","Flexão pliométrica no step","unchanged","Flexão pliométrica no step","docs/prescription/library-curation-v1-catalog-delta.csv"
"85b00ae3-727d-4cb8-8e79-542d04649cdc","Ankle hops (saltos de tornozelo)","unchanged","Ankle hops (saltos de tornozelo)","docs/prescription/library-curation-v1-catalog-delta.csv"
"85f9e6ce-592e-4eda-a9c6-79c2f828135f","Prancha + Cócoras","new","",""
"866f6e15-312c-49b5-972a-4caefaccf5da","Leg Press 45 Unilateral","unchanged","Leg Press 45 Unilateral","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"86749ad4-f622-4978-9c84-9ed335b13cff","Biset Cross Over + Supino Banco 90","unchanged","Biset Cross Over + Supino Banco 90","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"867a6df5-d665-43ac-b297-d46c2b667741","Rosca Banco 45","unchanged","Rosca Banco 45","docs/prescription/library-curation-v1-catalog-delta.csv"
"86bee686-3946-4f37-8730-22c88c777650","Front Squat","new","",""
"86ee3559-0d35-47b2-877a-cb078d56d975","Biset Tríceps Polia + Testa Polia Corda","unchanged","Biset Tríceps Polia + Testa Polia Corda","docs/prescription/library-curation-v1-catalog-delta.csv"
"8738b381-20aa-48cf-8475-264a24f7a289","Supino reto com barra","unchanged","Supino reto com barra","docs/prescription/library-curation-v1-catalog-delta.csv"
"8760c798-2f49-403e-8660-ad7c12729d5f","Prancha inversa + flexão de quadril alternada","new","",""
"8801e0c9-15b8-4b27-8847-1affbef93da8","Supino Reto Halteres","unchanged","Supino Reto Halteres","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"88194a44-bee6-4693-a1a6-73d5e80aaaff","Step Up Halteres","unchanged","Step Up Halteres","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"883f77a1-c25f-4626-aed5-9d18c8955508","Tríceps Testa Halteres Banco Reto","unchanged","Tríceps Testa Halteres Banco Reto","docs/prescription/library-curation-v1-catalog-delta.csv"
"8861655a-9cda-46e1-9397-b50783953b9b","Cadeira Adutora","unchanged","Cadeira Adutora","docs/prescription/library-curation-v1-catalog-delta.csv"
"89248200-9215-4cd8-822d-b1bf1378c82d","Thruster","unchanged","Thruster","docs/prescription/library-curation-v1-catalog-delta.csv"
"8927006c-0c4b-4163-b151-745fa1d0a8f3","Mobilidade de Quadril Frog","unchanged","Mobilidade de Quadril Frog","docs/prescription/library-curation-v1-catalog-delta.csv"
"8a461d7f-c174-4488-8dca-b4339ad26c81","Crucifixo Invertido Cruzado Polia","unchanged","Crucifixo Invertido Cruzado Polia","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"8b509e2a-e30f-4656-b0fb-7a0a19b00321","Crab walk","unchanged","Crab walk","docs/prescription/library-curation-v1-catalog-delta.csv"
"8b7d520a-d5b0-4393-ad75-bf85be89a91d","Remada Curvada Supinada Smith","unchanged","Remada Curvada Supinada Smith","docs/prescription/library-curation-v1-catalog-delta.csv"
"8be87651-fa98-4855-8a76-665f44971cc6","Skipping alto","unchanged","Skipping alto","docs/prescription/library-curation-v1-catalog-delta.csv"
"8c666a93-0716-493d-a299-2b2afc9f0f51","Educativo Estabilidade ( rigidez de tornozelo )","new","",""
"8c85efc1-f782-4a92-87bb-64efce180b40","Fisio Joelho: Spanish squat isométrico (banda)","unchanged","Fisio Joelho: Spanish squat isométrico (banda)","docs/prescription/library-curation-v1-catalog-delta.csv"
"8c8ab66a-8995-4b9a-a16c-3a33d5548286","Pogo jumps (saltinhos no lugar)","unchanged","Pogo jumps (saltinhos no lugar)","docs/prescription/library-curation-v1-catalog-delta.csv"
"8ca3b7f7-6c36-4b2d-9468-1127f7b12841","Passada com Barra Reta ( afundo)","new","",""
"8cc16422-0075-4d1f-be09-83902ea0bbf5","Desenvolvimento militar","unchanged","Desenvolvimento militar","docs/prescription/library-curation-v1-catalog-delta.csv"
"8d6f862b-694b-4ada-b84d-d51be3c0454c","Open book (rotação torácica deitado)","unchanged","Open book (rotação torácica deitado)","docs/prescription/library-curation-v1-catalog-delta.csv"
"8d920409-e19e-4364-bd64-985ccfb46c0e","Cadeira Abdutora Inclinada","unchanged","Cadeira Abdutora Inclinada","docs/prescription/library-curation-v1-catalog-delta.csv"
"8d9c8d95-ca83-4b41-aece-ded54f6711c7","Cadeira Abdutora 90","unchanged","Cadeira Abdutora 90","docs/prescription/library-curation-v1-catalog-delta.csv"
"8e92cb95-dc37-49d8-857b-5f0f36eef8ca","Elevação Frontal Pronada Em Pé","unchanged","Elevação Frontal Pronada Em Pé","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"8e9e3555-13f8-4239-b2f5-66bf7fea7194","Devil press","unchanged","Devil press","docs/prescription/library-curation-v1-catalog-delta.csv"
"8edcbd68-ff67-427a-8145-8908a360cb7d","Fisio Cotovelo: flexão de punho excêntrica (epicondilite medial)","unchanged","Fisio Cotovelo: flexão de punho excêntrica (epicondilite medial)","docs/prescription/library-curation-v1-catalog-delta.csv"
"8ee2ccea-edb2-47a9-8ea2-4b5c23c3bf40","Cardio","unchanged","Cardio","docs/prescription/library-curation-v1-catalog-delta.csv"
"8f4d5caa-48e0-4974-99c9-91600a9c704c","Salto Barra Hexagonal Contínuo ( pré plio )","new","",""
"8f5a324b-b573-4b6b-87f6-49461b8cdbce","Cross Over Medial Banco 90","unchanged","Cross Over Medial Banco 90","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"8f6eb5f3-64aa-4409-ae99-a6b96e3064b7","Plio Bound Burpee","new","",""
"8f725656-bb0e-4ed0-9fbb-f0fecfaf6523","Along. Posterior Unilateral Estendido","unchanged","Along. Posterior Unilateral Estendido","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"8fb786df-8ccc-4223-bbea-5fec0fb06c49","Remada Curvada Pronada Barra","unchanged","Remada Curvada Pronada Barra","docs/prescription/library-curation-v1-catalog-delta.csv"
"8fd89d73-2bba-4da8-a102-754e02df5583","Med ball squat to press throw","unchanged","Med ball squat to press throw","docs/prescription/library-curation-v1-catalog-delta.csv"
