codigo,arquivo_final,nome_exercicio,grupo_muscular,estacao,prioridade,exercise_id
043,043-hang-clean.mp4,Hang clean,Peso Livre,Barra,normal,d56a3b0c-bfe3-472a-8842-ebf415a7e724
044,044-hip-thrust-com-barra.mp4,Hip thrust com barra,Peso Livre,Barra,normal,cdf66f46-565a-4815-b724-f9dfea82b821
045,045-hip-thrust-explosivo.mp4,Hip thrust explosivo,Performance,Barra,normal,43109c36-7ff8-468c-99c8-fed5c171132e
046,046-muscle-up-progressao.mp4,Muscle-up (progressão),Peso Corporal,Barra,normal,caa940f6-6aca-4e19-a77c-3212a87260a5
047,047-panturrilha-smith-com-step.mp4,Panturrilha Smith com Step,panturrilha,Barra,normal,7cf75d18-f767-4032-ba36-b3ffc33beaaa
048,048-passada-barra.mp4,Passada Barra,quadríceps,Barra,normal,0c28726e-c6d5-4df2-9056-a0f0f8499264
049,049-passada-com-barra-reta-afundo.mp4,Passada com Barra Reta ( afundo),Quadríceps,Barra,normal,8ca3b7f7-6c36-4b2d-9468-1127f7b12841
050,050-power-clean.mp4,Power clean,Peso Livre,Barra,normal,0c145a70-2e35-476a-ad40-2998fcb92be3
051,051-pulldown-barra.mp4,Pulldown barra,costas,Barra,normal,afbe8bbe-2cf2-4404-a609-7c9647ec3eeb
052,052-rdl-barra.mp4,RDL Barra,posterior de coxa,Barra,normal,506123c3-3d0d-4d4e-91a4-2e2363dd9280
053,053-recuo-barra-livre.mp4,Recuo Barra Livre,quadríceps,Barra,normal,b1c0882e-f674-473d-a6a4-5f8d1fea2b0f
054,054-recuo-com-barra-reta-afundo.mp4,Recuo com Barra Reta ( afundo ),Quadríceps,Barra,normal,658aa167-54ef-4662-bc7f-7883b7175af8
055,055-recuo-smith.mp4,Recuo Smith,quadríceps,Barra,normal,7b60f329-d660-474c-a47f-1780c9c6f03b
056,056-recuo-smith-com-step-na-frente.mp4,Recuo Smith com Step na Frente,quadríceps,Barra,normal,3b94a40d-82de-4b73-8758-d7b722a9e771
057,057-remada-aberta-smith-barra.mp4,Remada aberta Smith/Barra,Dorsal,Barra,normal,11cc5dbc-403b-4ccb-9c06-cc93d225c09b
058,058-remada-alta-barra.mp4,Remada Alta Barra,ombro,Barra,normal,b222ffd2-a90e-47a2-9924-a63381446069
059,059-remada-alta-no-smith.mp4,Remada Alta no Smith,ombro,Barra,normal,e2e6d537-a9ba-4feb-bd2d-f6b7591895c2
060,060-remada-australiana-inverted-row.mp4,Remada australiana (inverted row),Peso Corporal,Barra,normal,55c3a5c2-7d07-4f7b-9b3c-6343a526a376
061,061-remada-cavalinho.mp4,Remada cavalinho,Peso Livre,Barra,normal,ed6127ab-bec4-46e3-86ff-749e9391d515
062,062-remada-curvada-com-barra.mp4,Remada curvada com barra,Peso Livre,Barra,normal,6163ca32-b640-4c24-aa1f-860ca50be982
063,063-remada-curvada-pronada-barra.mp4,Remada Curvada Pronada Barra,costas,Barra,normal,8fb786df-8ccc-4223-bbea-5fec0fb06c49
064,064-remada-curvada-pronada-barra-com-rotacao.mp4,Remada Curvada Pronada Barra com Rotação,costas,Barra,normal,90a3c261-85ad-46f5-9449-b4fd542a109e
065,065-remada-curvada-pronada-smith.mp4,Remada Curvada Pronada Smith,costas,Barra,normal,e00a0b68-7e1f-4b96-b53e-9b61ccf2da62
066,066-remada-curvada-supinada-barra.mp4,Remada Curvada Supinada Barra,costas,Barra,normal,15e3ad55-f384-4e29-be43-b63cb85a9a5c
067,067-remada-curvada-supinada-smith.mp4,Remada Curvada Supinada Smith,costas,Barra,normal,8b7d520a-d5b0-4393-ad75-bf85be89a91d
068,068-rosca-scott-barra.mp4,Rosca Scott Barra,bíceps,Barra,normal,bf33e722-9da1-4e32-af62-546bb5176c3a
069,069-salto-barra-hexagonal-c-contramovimento-pre-plio.mp4,Salto barra Hexagonal c/ contramovimento ( pré plio ),Musculação,Barra,normal,9d3992cd-2ed4-4ace-a7b7-242d3a6fcc2b
070,070-salto-barra-hexagonal-continuo-pre-plio.mp4,Salto Barra Hexagonal Contínuo ( pré plio ),Musculação,Barra,normal,8f4d5caa-48e0-4974-99c9-91600a9c704c
071,071-salto-com-barra-hexagonal-s-contramovimento-pre-plio.mp4,Salto com Barra Hexagonal S/ contramovimento ( pré plio ),Musculação,Barra,normal,f18ce369-a648-4f14-a9c9-b0ed18e75cd7
072,072-step-up-smith.mp4,Step Up Smith,quadríceps,Barra,normal,50ec90c8-f48d-421b-a38b-23e79a131e18
073,073-stiff.mp4,Stiff,Peso Livre,Barra,normal,490b2080-ea0b-40bf-85bc-8613544d4140
074,074-stiff-abduzido-barra.mp4,Stiff Abduzido Barra,posterior de coxa,Barra,normal,da6ed290-59ef-49c0-a831-51ee224233bf
075,075-stiff-b-stance-barra.mp4,Stiff B-Stance Barra,posterior de coxa,Barra,normal,af71347e-48d2-40df-83b4-d77c4dd21ea7
076,076-stiff-barra.mp4,Stiff Barra,posterior de coxa,Barra,normal,e07a88c2-da55-42e7-935a-1b53261381c6
077,077-stiff-com-barra-reta-romanian-deadlift.mp4,Stiff com Barra Reta ( Romanian Deadlift ),Quadríceps,Barra,normal,10bc07ad-3778-4967-9c7f-e9eff2993ccf
078,078-stiff-smith.mp4,Stiff Smith,posterior de coxa,Barra,normal,fc025e5f-41e3-41df-8dc7-0d2507f26f17
079,079-supino-declinado-barra.mp4,Supino Declinado Barra,peitoral,Barra,normal,561114a6-a613-4936-a51e-eda2cf36508b
080,080-supino-fechado-barra.mp4,Supino Fechado Barra,tríceps,Barra,normal,1173e1a7-fa43-4cd2-a1fd-811419b9e7d2
081,081-supino-fechado-smith.mp4,Supino Fechado Smith,tríceps,Barra,normal,630de071-ce64-490d-9257-4e1e7260804f
082,082-supino-inclinado-smith.mp4,Supino Inclinado Smith,peitoral,Barra,normal,bfcb16f7-0b17-43c0-a487-42171c4d7f5c
083,083-supino-reto-barra.mp4,Supino Reto Barra,peitoral,Barra,normal,b61721db-87fe-41d8-b13e-f6b5833b8550
084,084-supino-reto-com-barra.mp4,Supino reto com barra,Peso Livre,Barra,normal,8738b381-20aa-48cf-8475-264a24f7a289
085,085-supino-reto-smith.mp4,Supino Reto Smith,peitoral,Barra,normal,0f40befe-bf63-4884-b88a-37ebf683386a
086,086-terra-barra-hexagonal.mp4,Terra Barra Hexagonal,Quadríceps,Barra,normal,04403333-4324-4ff1-b7e3-64553fd0d142
087,087-terra-com-barra-reta-deadlift.mp4,Terra com Barra Reta ( Deadlift ),Quadríceps,Barra,normal,166260ad-3ebd-4718-8ef1-95598bf6f4a6
088,088-terra-romeno.mp4,Terra romeno,Peso Livre,Barra,normal,6b34cc78-f024-4f8c-970b-2b90dda2870c
089,089-terra-sumo.mp4,Terra sumô,Peso Livre,Barra,normal,39cd91ca-af97-43a3-85ad-25d47721db10
090,090-triceps-testa-barra-banco-45.mp4,Tríceps Testa Barra Banco 45,tríceps,Barra,normal,ecdca299-adb9-46e7-bc96-adf9dfff162a
