codigo,arquivo_final,nome_exercicio,grupo_muscular,estacao,prioridade,exercise_id
178,178-rotacao-tronco-polia-baixa.mp4,Rotação Tronco Polia Baixa,Funcional,Cabo/Polia,normal,fa93026d-104b-4ce7-9ce2-8bd58fd6b57f
179,179-stiff-polia.mp4,Stiff Polia,posterior de coxa,Cabo/Polia,normal,e72c6531-5b99-4757-9a7d-efaa5d4bfdbf
180,180-triset-antebraco-polia.mp4,Triset Antebraço Polia,antebraço,Cabo/Polia,normal,c7da00c3-45fc-4bcf-9f33-9b6032086bf4
181,181-triceps-abducao-horizontal-unilateral-polia.mp4,Tríceps Abdução Horizontal Unilateral Polia,tríceps,Cabo/Polia,normal,2440c002-d2bb-4a9a-bb38-8b45a58016fd
182,182-triceps-frances-polia-barra.mp4,Tríceps Francês polia barra,tríceps,Cabo/Polia,normal,a545e43e-bbd1-414c-8b73-2e9aa3fc4ddb
183,183-triceps-inverso-polia.mp4,Tríceps Inverso Polia,tríceps,Cabo/Polia,normal,fee75457-aeea-4070-8b1c-de33d8f0f0fe
184,184-triceps-polia-corda.mp4,Tríceps Polia Corda,tríceps,Cabo/Polia,normal,3cc40978-bc88-4d1c-88b4-670d761db741
185,185-triceps-testa-polia-barra.mp4,Tríceps Testa Polia Barra,tríceps,Cabo/Polia,normal,c4cd4956-93f0-4170-a2c9-753e459a7a80
186,186-triceps-testa-polia-corda.mp4,Tríceps Testa Polia Corda,tríceps,Cabo/Polia,normal,819d50d1-34ac-418b-a989-f71937578072
187,187-triceps-unilateral-cruzado-polia.mp4,Tríceps Unilateral Cruzado Polia,tríceps,Cabo/Polia,normal,c46d79a5-e3ff-4c1e-a21c-091b66cbde1a
188,188-triceps-unilateral-polia.mp4,Tríceps Unilateral Polia,tríceps,Cabo/Polia,normal,5f69e25e-47af-4774-8ece-61066a4e2e47
189,189-woodchop-alto-baixo-na-polia.mp4,Woodchop alto-baixo na polia,Core,Cabo/Polia,normal,4fa314e0-0e6d-45d0-991d-6e96945505c0
190,190-woodchop-baixo-alto-na-polia.mp4,Woodchop baixo-alto na polia,Core,Cabo/Polia,normal,435d6ec2-ca0c-4d2a-9b52-26099d0d0736
191,191-y-na-polia.mp4,Y na Polia,ombro,Cabo/Polia,normal,e1ee3cf8-d8a4-4023-8ed2-ee967dacea2a
192,192-drop-to-stick-queda-da-caixa-e-estabiliza.mp4,Drop to stick (queda da caixa e estabiliza),Performance,Caixa/Pliometria,ALTA,29fd7e63-ac61-4732-828a-9763f603984f
193,193-fisio-joelho-salto-em-profundidade-energy-storage.mp4,Fisio Joelho: salto em profundidade (energy storage),Fisioterapia,Caixa/Pliometria,ALTA,6d12d3e8-472b-495a-af17-0ae077bed6ce
194,194-hurdle-hops-frontais.mp4,Hurdle hops frontais,Pliometria,Caixa/Pliometria,ALTA,4f60051c-3bfa-41c8-9a1b-a4bacb4c4b70
195,195-hurdle-hops-reativos-rebote-rapido.mp4,Hurdle hops reativos (rebote rápido),Performance,Caixa/Pliometria,ALTA,3698ab9b-bf41-4619-bb02-746098528036
196,196-afundo-pliometrico.mp4,Afundo pliométrico,Musculação,Caixa/Pliometria,normal,a720a814-089c-407e-9cda-b434a10ead49
197,197-aterrissagem-de-caixa-box-drop-landing.mp4,Aterrissagem de caixa (box drop landing),Performance,Caixa/Pliometria,normal,10b412af-1efc-49ad-b38d-f62c5a09c0d9
198,198-aterrissagem-de-caixa-unipodal.mp4,Aterrissagem de caixa unipodal,Performance,Caixa/Pliometria,normal,db93bd35-d429-4009-bbf6-28b5a44e9cfc
199,199-box-jump.mp4,Box jump,Pliometria,Caixa/Pliometria,normal,03a0f23f-cab8-41ad-9c51-5b5f928ec103
200,200-box-jump-com-aterrissagem-suave.mp4,Box jump com aterrissagem suave,Pliometria,Caixa/Pliometria,normal,20c16979-e09d-4122-a3b5-0b6876dfe77a
201,201-burpee-box-jump.mp4,Burpee box jump,Pliometria,Caixa/Pliometria,normal,5b52b781-571c-4aca-99bf-e66c4a8ab4b4
202,202-bulgaro-com-salto.mp4,Búlgaro com salto,Quadríceps,Caixa/Pliometria,normal,53377cb6-f755-4f49-ac76-e55e150835bb
203,203-depth-jump-salto-em-profundidade.mp4,Depth jump (salto em profundidade),Pliometria,Caixa/Pliometria,normal,1237c3d4-1244-480c-9261-034036833851
204,204-depth-jump-com-rebote-imediato.mp4,Depth jump com rebote imediato,Performance,Caixa/Pliometria,normal,4370ac29-8751-4de9-8765-d2c467c57353
205,205-depth-jump-para-caixa.mp4,Depth jump para caixa,Pliometria,Caixa/Pliometria,normal,de6df00a-0d66-453b-8d90-d8098810f986
206,206-drop-jump-reativo-contato-minimo-no-solo.mp4,Drop jump reativo (contato mínimo no solo),Performance,Caixa/Pliometria,normal,72186f5e-8d3a-4f95-886a-88785e501294
207,207-drop-landing-so-aterrissagem.mp4,Drop landing (só aterrissagem),Pliometria,Caixa/Pliometria,normal,9fe176b1-0730-449d-97c4-7ec1f6e780c2
208,208-flexao-pliometrica-no-step.mp4,Flexão pliométrica no step,Pliometria,Caixa/Pliometria,normal,855be8c3-f36b-4bad-abb5-37d04db61f8d
209,209-hops-plio.mp4,Hops ( plio ),Musculação,Caixa/Pliometria,normal,6a359863-cef9-48cd-bdd9-d63f0bf66f18
210,210-hurdle-hops-laterais.mp4,Hurdle hops laterais,Pliometria,Caixa/Pliometria,normal,af214287-5ae5-4074-982d-15cb712c7d25
211,211-hurdle-hops-unipodais.mp4,Hurdle hops unipodais,Pliometria,Caixa/Pliometria,normal,4db43101-8c16-40ec-918c-fefdf8f2c02c
212,212-pliometria-alternada-elevacao.mp4,Pliometria Alternada Elevação,Musculação,Caixa/Pliometria,normal,e7ea8ceb-df29-430b-bc89-715c04e4d7d4
213,213-pliometria-plano-frontal-elevacao.mp4,Pliometria Plano Frontal Elevação,Musculação,Caixa/Pliometria,normal,1f9c9f42-ac95-4fee-9925-086f390c9ec8
214,214-pliometria-unilateral-apoio-banco.mp4,Pliometria Unilateral apoio Banco,Musculação,Caixa/Pliometria,normal,51a51037-7277-48fd-8b61-559ec69b88b6
215,215-potencia-wall-ball-base-afundo.mp4,Potência Wall Ball base Afundo,Musculação,Caixa/Pliometria,normal,e4840783-fbde-4e07-9546-6b6d5de4115b
216,216-salto-c-contramovimento-plio.mp4,Salto c/ contramovimento ( plio ),Musculação,Caixa/Pliometria,normal,2f419825-0522-4400-9753-1c19673f90f9
217,217-salto-em-profundidade-unipodal.mp4,Salto em profundidade unipodal,Performance,Caixa/Pliometria,normal,214ee928-dbb5-454c-b3e8-5ff5b49f2e97
218,218-salto-horizontal-c-contramovimento-plio.mp4,Salto horizontal c/ contramovimento ( plio ),Musculação,Caixa/Pliometria,normal,3f5cdf00-8599-4997-a1b7-56056b335b67
219,219-salto-lateral-em-caixa.mp4,Salto lateral em caixa,Funcional,Caixa/Pliometria,normal,b75e5f9d-f56b-441e-b23f-b849048a7e68
220,220-saltos-horizontais-continuos.mp4,Saltos Horizontais Continuos,Musculação,Caixa/Pliometria,normal,62bea1e0-2f07-45a6-9243-85b528adba73
221,221-saltos-horizontais-unilaterais-estabilizando.mp4,Saltos Horizontais Unilaterais Estabilizando,Musculação,Caixa/Pliometria,normal,52b548b7-f772-46a7-b2c6-a52793d43a22
222,222-saltos-verticais-continuos.mp4,Saltos Verticais Contínuos,Musculação,Caixa/Pliometria,normal,03800c6a-d574-49ae-8cda-06904e196e47
223,223-step-up-com-elevacao-de-joelho.mp4,Step-up com elevação de joelho,Funcional,Caixa/Pliometria,normal,2fadbea7-8bca-4201-81ac-288aafd53b64
224,224-subida-no-caixote-step-up.mp4,Subida no caixote (step-up),Peso Corporal,Caixa/Pliometria,normal,a67f2841-bf56-477d-8743-405c34d8360d
225,225-wall-ball-slide.mp4,Wall Ball Slide,quadríceps,Caixa/Pliometria,normal,2dbd7749-f70d-4021-b32c-79feb8e22e6e
226,226-wall-drill-diagonal-reativo.mp4,Wall Drill Diagonal Reativo,Musculação,Caixa/Pliometria,normal,0e741d22-0879-4e6b-9e31-ed2dc4f5d974
227,227-wall-drill-propulsao-diagonal.mp4,Wall Drill Propulsão Diagonal,Musculação,Caixa/Pliometria,normal,0a379d97-b76e-45f9-99b9-7fe1ad2298d6
228,228-battle-rope-ondas.mp4,Battle rope (ondas),Funcional,Corda Naval,ALTA,b0a48a05-1353-4553-b95d-a5809bf10e45
229,229-sled-pull-puxar-treno.mp4,Sled pull (puxar trenó),Funcional,Corrida/Trenó,normal,c1e79eca-66da-429e-9e55-cade5bf81998
230,230-sled-push-empurrar-treno.mp4,Sled push (empurrar trenó),Funcional,Corrida/Trenó,normal,bed50ce6-9617-4562-9640-4c50eb17ae40
231,231-sled-push-de-aceleracao.mp4,Sled push de aceleração,Performance,Corrida/Trenó,normal,c648a996-b9c6-453b-bc08-32ae3bdb6c2b
232,232-agachamento-no-disco-de-equilibrio.mp4,Agachamento no disco de equilíbrio,Estabilidade,Disco De Equilíbrio,normal,a71f55f3-2748-45fb-88af-da377ce67c17
233,233-bound-reativo-com-banda-no-quadril.mp4,Bound reativo com banda no quadril,Performance,Elástico/Band,ALTA,55ca9bc7-e978-4bfd-a571-f87f50d21d95
234,234-concha-clamshell-com-banda.mp4,Concha (clamshell) com banda,Ativação,Elástico/Band,ALTA,0864ae00-8b2d-4956-b7ae-b58ccd7b1747
235,235-fisio-quadril-abducao-isometrica-de-gluteo-medio.mp4,Fisio Quadril: abdução isométrica de glúteo médio,Fisioterapia,Elástico/Band,ALTA,5c9a2f95-6d80-4535-bcbe-98e7d8f020b6
236,236-largada-resistida-com-banda-band-start.mp4,Largada resistida com banda (band start),Performance,Elástico/Band,ALTA,3170d189-6ef3-4071-b80a-4ddf4f4a24e9
237,237-pogo-reativo-com-mini-band.mp4,Pogo reativo com mini band,Performance,Elástico/Band,ALTA,b9ec1dea-7d91-4982-8a14-7b4434c1a34b
238,238-sapinho-banco-com-minband-frog.mp4,Sapinho Banco com Minband (Frog),glúteo,Elástico/Band,ALTA,1fa8950a-6f9f-4c24-9115-b0cc25d6dddc
239,239-sprint-resistido-com-banda.mp4,Sprint resistido com banda,Performance,Elástico/Band,ALTA,c941a80c-af63-4066-9d35-2850673c0391
240,240-abducao-de-quadril-com-miniband.mp4,Abdução de Quadril com Miniband,glúteo,Elástico/Band,normal,b43da4eb-780e-4488-a5bc-ccb85e32c902
241,241-abducao-de-quadril-em-prancha-lateral-com-miniband.mp4,Abdução de Quadril em Prancha Lateral com miniband,glúteo,Elástico/Band,normal,3b176d08-d9f9-46e2-a817-af77ad5768c1
242,242-abducao-de-quadril-em-pe-com-banda.mp4,Abdução de quadril em pé com banda,Ativação,Elástico/Band,normal,b4cb5f2a-9bb0-4cae-96ec-c851979635ad
243,243-abducao-na-parede-com-mini-band.mp4,Abdução na parede com mini band,Elástico,Elástico/Band,normal,0217ae0c-3e89-4082-addc-054ab599055b
244,244-agachamento-unilateral-com-mini-band.mp4,Agachamento unilateral com mini band,Quadríceps,Elástico/Band,normal,bea20cf4-d2d9-4a2d-97fa-6bee6554e7fb
245,245-apoio-unipodal-mini-band-ativacao-pe.mp4,Apoio Unipodal + mini band ( ativação pé ),Musculação,Elástico/Band,normal,dcfe8eba-b4a7-4f0d-a800-10f0f25d3cd0
246,246-aterrissagem-unipodal-com-banda-perturbacao.mp4,Aterrissagem unipodal com banda (perturbação),Performance,Elástico/Band,normal,310f9f12-1811-4fa5-a13e-0cda9957b22b
247,247-ativacao-de-gluteo-mini-band.mp4,Ativação de Glúteo mini band,Musculação,Elástico/Band,normal,a919653b-c39f-416e-86f7-a6a5fd1fb80a
248,248-ativacao-gluteos-parede-miniband.mp4,Ativação Glúteos Parede Miniband,Quadríceps,Elástico/Band,normal,df560304-9a05-4644-b3d3-7fb304be1c7c
249,249-band-pull-apart.mp4,Band pull-apart,Ativação,Elástico/Band,normal,5d5060a7-43e2-40a8-afd4-d368d041375a
250,250-band-walk-frontal.mp4,Band walk frontal,Funcional,Elástico/Band,normal,3c9d3fa4-d90b-4a2c-9407-ca2c8e3135ef
251,251-bird-dog-com-mini-band.mp4,Bird dog com mini band,Core,Elástico/Band,normal,1aed1cd3-3781-4f5b-b1a6-cacef13b34f9
252,252-caminhada-lateral-com-mini-band.mp4,Caminhada lateral com mini band,Ativação,Elástico/Band,normal,e6a748f5-2993-4f31-9e58-cb68e6ed8381
253,253-coice-de-gluteo-kickback-com-banda.mp4,Coice de glúteo (kickback) com banda,Ativação,Elástico/Band,normal,253359b8-bda8-4506-8aaf-d922c1631cad
254,254-dead-bug-com-mini-band.mp4,Dead bug com mini band,Core,Elástico/Band,normal,cd97f513-28aa-489c-9cd3-af81e703af74
255,255-elevacao-de-quadril-solo-abducao-no-pico-de-contracao-com-mi.mp4,Elevação de Quadril Solo + Abdução no Pico de Contração com Miniband,glúteo,Elástico/Band,normal,d5b2efff-225d-4673-a0fa-b9e363def938
256,256-elevacao-de-quadril-solo-com-miniband.mp4,Elevação de Quadril Solo com Miniband,glúteo,Elástico/Band,normal,585b350c-bba4-433c-9830-e46be2af9175
257,257-extensao-de-quadril-com-miniband.mp4,Extensão de Quadril com Miniband,glúteo,Elástico/Band,normal,3f51e5c8-acca-4225-a233-6d2faa5e1366
258,258-extensao-de-quadril-em-diagonal-miniband.mp4,Extensão de Quadril em Diagonal Miniband,glúteo,Elástico/Band,normal,75cf318a-071a-47fe-8ba9-2ff21c68dcf2
259,259-face-pull-com-banda.mp4,Face pull com banda,Ativação,Elástico/Band,normal,d8f0ab53-6e7d-4c1f-9fb9-7b8407d62b68
260,260-fire-hydrant-com-banda.mp4,Fire hydrant com banda,Ativação,Elástico/Band,normal,a2ea7519-0c86-4e16-bdec-aa6e571a764b
261,261-fisio-joelho-extensao-terminal-de-joelho-tke-com-banda.mp4,Fisio Joelho: extensão terminal de joelho (TKE) com banda,Fisioterapia,Elástico/Band,normal,14a37bd7-2592-44fc-b429-d2f6aa272f6e
262,262-fisio-joelho-spanish-squat-isometrico-banda.mp4,Fisio Joelho: Spanish squat isométrico (banda),Fisioterapia,Elástico/Band,normal,8c85efc1-f782-4a92-87bb-64efce180b40
263,263-fisio-ombro-rotacao-externa-com-banda.mp4,Fisio Ombro: rotação externa com banda,Fisioterapia,Elástico/Band,normal,08e6f9c6-3798-4615-a6b9-6961a1de0d01
264,264-fisio-ombro-rotacao-interna-com-banda.mp4,Fisio Ombro: rotação interna com banda,Fisioterapia,Elástico/Band,normal,1a59f308-6143-4a7b-b1a1-92d08f1b0045
265,265-fisio-punho-extensao-de-dedos-com-elastico.mp4,Fisio Punho: extensão de dedos com elástico,Fisioterapia,Elástico/Band,normal,ee88225b-5f2d-48f2-a241-d56beacdf79f
266,266-fisio-tendao-patelar-isometrico-spanish-squat-45s.mp4,Fisio Tendão patelar: isométrico Spanish squat (45s),Fisioterapia,Elástico/Band,normal,f3ba0904-10e6-4c06-8e5a-32691e8c52c1
267,267-fisio-tornozelo-dorsiflexao-com-banda.mp4,Fisio Tornozelo: dorsiflexão com banda,Fisioterapia,Elástico/Band,normal,2eed525d-8e39-415a-bb28-461767276dd4
268,268-fisio-tornozelo-inversao-eversao-com-banda.mp4,Fisio Tornozelo: inversão/eversão com banda,Fisioterapia,Elástico/Band,normal,38686cfa-22ae-4500-8155-89ff18544a34
269,269-flexao-de-quadril-alternada-mini-band-em-iso-isquiotibiais-g.mp4,Flexão de quadril alternada mini band em ISO isquiotibiais/gluteo,Musculação,Elástico/Band,normal,02405dab-c29d-4179-9f75-1891c5f2207f
270,270-gluteo-rot-ext-mini-band.mp4,Gluteo - rot ext - mini band,Musculação,Elástico/Band,normal,226fb390-f2fb-4477-9e58-22d6f873ad3c
271,271-gluteo-concha-com-miniband.mp4,Glúteo Concha com Miniband,glúteo,Elástico/Band,normal,a795e738-9954-43fb-b944-8e7ca6c8fde1
272,272-mobilidade-de-ombro-com-bastao-elastico.mp4,Mobilidade de Ombro com Bastão/Elástico,mobilidade,Elástico/Band,normal,ef875bb7-80df-4daf-9b00-1cc56e8ebf12
273,273-monster-walk-caminhada-do-monstro.mp4,Monster walk (caminhada do monstro),Ativação,Elástico/Band,normal,93434700-d614-43e8-9263-1b5a4e4fa3dc
274,274-nordico-com-elastico.mp4,Nórdico com Elástico,posterior de coxa,Elástico/Band,normal,caee0c7f-7b3a-481b-84a0-77d930e8a1a5
275,275-pallof-press-com-banda.mp4,Pallof press com banda,Core,Elástico/Band,normal,15970175-ecdc-42be-8d48-eed24c8db1a6
276,276-passada-lateral-com-miniband.mp4,Passada Lateral com Miniband,glúteo,Elástico/Band,normal,05048a2c-12db-4807-8f9c-38b06233c1f5
277,277-ponte-de-gluteo-com-mini-band.mp4,Ponte de glúteo com mini band,Ativação,Elástico/Band,normal,0dc85179-20cc-4046-8bbc-8425fbed95dc
278,278-prancha-lateral-com-rotacao-externa-elastico.mp4,Prancha Lateral com Rotação Externa Elastico,Musculação,Elástico/Band,normal,9424dd73-f3ed-4a0f-a2c3-dc3a0d296898
279,279-prancha-lateral-em-abducao-com-mini-band-crucifixo-unilatera.mp4,Prancha Lateral em Abdução com Mini band + Crucifixo Unilateral,Musculação,Elástico/Band,normal,953eaf1d-1b3f-460e-b1fa-47ed3e90f0f0
280,280-propulsao-diagonal-com-mini-band.mp4,Propulsão Diagonal com mini band,Musculação,Elástico/Band,normal,eef9a08b-8ea3-45d9-ae15-dace11048bf9
281,281-rdl-unilateral-com-miniband.mp4,RDL Unilateral com Miniband,posterior de coxa,Elástico/Band,normal,ad2c7265-abc6-44f1-9fb6-d1dd2db714bf
282,282-remada-sentada-com-mini-band.mp4,Remada sentada com mini band,Dorsal,Elástico/Band,normal,bd600b8a-4a73-4964-8d93-771f74cf7f71
283,283-rotacao-externa-de-ombro-com-banda.mp4,Rotação externa de ombro com banda,Ativação,Elástico/Band,normal,405d110e-8ca3-4fbc-a2ec-57f14f241ac0
284,284-salto-horizontal-com-banda-banded-broad-jump.mp4,Salto horizontal com banda (banded broad jump),Performance,Elástico/Band,normal,bcb4aa93-98e8-4ffb-bcac-6146557a79af
285,285-salto-s-contramovimento-mini-band.mp4,Salto s/ contramovimento + mini band,Musculação,Elástico/Band,normal,a0d2960f-2d38-4c57-9c97-739027560206
286,286-stiff-uni-elastico-ativacao-pe.mp4,Stiff Uni + elástico ( ativação pé ),Musculação,Elástico/Band,normal,11adc894-e6fd-4fcb-8c6c-f6742ff643c3
287,287-terra-deadlift-com-kb-super-band.mp4,Terra / Deadlift com KB + Super Band,Quadríceps,Elástico/Band,normal,da200d73-4bb2-4add-b3d1-cd41e80a6c0b
288,288-wall-drive-com-banda-no-quadril.mp4,Wall drive com banda no quadril,Performance,Elástico/Band,normal,4bbcaec9-1ed8-4365-8573-1894c5e2cec4
289,289-wall-sprint-march-com-banda.mp4,Wall sprint march com banda,Performance,Elástico/Band,normal,af1cab29-e1e0-4e01-81d1-66db789c39ec
290,290-fisio-cotovelo-tyler-twist-com-flexbar.mp4,Fisio Cotovelo: Tyler twist com flexbar,Fisioterapia,Flexbar,normal,00b81946-db35-47cd-bf26-e580a5b0410c
291,291-afundo-com-halteres.mp4,Afundo com halteres,Peso Livre,Halteres,ALTA,6434476e-61da-4f43-add6-58ba14773a9f
292,292-afundo-halteres.mp4,Afundo Halteres,quadríceps,Halteres,ALTA,75be10d2-4087-4b4d-9a88-c04f9bdb1a30
293,293-agachamento-sumo-halter.mp4,Agachamento Sumô Halter,quadríceps,Halteres,ALTA,df795cb5-06d1-49a9-848f-ac7b186ff807
294,294-encolhimento-halter.mp4,Encolhimento Halter,trapézio,Halteres,ALTA,0628f8ba-73d5-49e9-a802-bc1825680ecf
295,295-fisio-cotovelo-extensao-de-punho-excentrica-epicondilite-lat.mp4,Fisio Cotovelo: extensão de punho excêntrica (epicondilite lateral),Fisioterapia,Halteres,ALTA,be8fff41-033b-4f4b-9d0f-414dac68321b
296,296-fisio-cotovelo-flexao-de-punho-excentrica-epicondilite-media.mp4,Fisio Cotovelo: flexão de punho excêntrica (epicondilite medial),Fisioterapia,Halteres,ALTA,8edcbd68-ff67-427a-8145-8908a360cb7d
297,297-fisio-posterior-terra-romeno-unipodal-lento-hsr.mp4,Fisio Posterior: terra romeno unipodal lento (HSR),Fisioterapia,Halteres,ALTA,e7f34a26-20b8-4d7c-bd8b-1d6a0c2ff97a
298,298-levantamento-terra-sumo-com-halter.mp4,Levantamento Terra Sumô com Halter,posterior de coxa,Halteres,ALTA,dc0ad1e1-6d1b-4cec-8e29-1c9ce486097f
299,299-passada-halteres.mp4,Passada Halteres,quadríceps,Halteres,ALTA,4161c89d-9db9-473f-97ca-acf4ac83b968
300,300-pullover-halter.mp4,Pullover Halter,costas,Halteres,ALTA,e5e6eb77-21c8-4d9b-95c0-3f91c4914375
301,301-recuo-halteres.mp4,Recuo Halteres,quadríceps,Halteres,ALTA,53c8b9d0-82ce-4d29-8573-7a337a1da03e
302,302-rosca-scott-unilateral-neutra-halter.mp4,Rosca Scott Unilateral Neutra Halter,bíceps,Halteres,ALTA,1dba3d51-da68-44a7-a720-f7caf0c36cd2
303,303-abs-medball.mp4,Abs medball,Abdômen,Halteres,normal,7f97f464-1f1d-47ba-9521-b2958f6714d1
304,304-afundo-db-snatch.mp4,Afundo + DB Snatch,Musculação,Halteres,normal,a2d29137-32db-4153-93c2-eb6103c00ac9
305,305-afundo-halteres-com-2-steps.mp4,Afundo Halteres com 2 Steps,quadríceps,Halteres,normal,75a0be3c-782a-43bd-b622-51bb4c2def59
306,306-afundo-halteres-com-step-na-frente.mp4,Afundo Halteres com Step na Frente,quadríceps,Halteres,normal,18ca2f96-e70f-4428-b5d6-e20804eb193a
307,307-agachamento-bulgaro.mp4,Agachamento búlgaro,Peso Livre,Halteres,normal,7fa7c63d-5642-4d41-acd3-f3e468e53370
308,308-agachamento-com-desenvolvimento-halteres.mp4,Agachamento com Desenvolvimento Halteres,quadríceps,Halteres,normal,b1683ec5-c903-4406-a33d-0a03606ac7f5
309,309-agachamento-frontal-com-2-halteres.mp4,Agachamento Frontal Com 2 Halteres,quadríceps,Halteres,normal,faa0a8a1-a84f-42f9-b234-8286d1c46912
310,310-avanco-com-halteres-afundo.mp4,Avanço com Halteres (afundo),Quadríceps,Halteres,normal,0b50f141-a549-42f1-b2e2-9ef826798af8
311,311-biset-crucifixo-inclinado-supino-inclinado-halteres.mp4,Biset Crucifixo Inclinado + Supino Inclinado Halteres,peitoral,Halteres,normal,90c13080-6ab3-4b9c-982f-984c50e224bc
312,312-biset-triceps-testa-supino-fechado-halteres.mp4,Biset Tríceps Testa + Supino Fechado Halteres,tríceps,Halteres,normal,64ea4d35-daa5-4d8a-916f-cdd3784d29e2
313,313-core-medball-deitado.mp4,CORE Medball deitado,Abdômen,Halteres,normal,1941c28d-39dc-45f1-b598-4e209e3a1628
314,314-crucifixo-inclinado-halteres.mp4,Crucifixo Inclinado Halteres,peitoral,Halteres,normal,c2df4c00-a3c7-4ed2-9310-a58b1971fa6f
315,315-crucifixo-reto-halteres.mp4,Crucifixo Reto Halteres,peitoral,Halteres,normal,430e38a3-2815-45b1-af80-712184dd17c2
316,316-db-snatch-saida-de-afundo.mp4,DB Snatch (saída de Afundo),Musculação,Halteres,normal,4b47b4ab-0617-4698-acac-14469bd12fb0
317,317-desenvolvimento-halteres-em-pe.mp4,Desenvolvimento Halteres em Pé,ombro,Halteres,normal,e9356e80-6f25-4ac7-bce7-afc652825220
318,318-desenvolvimento-halteres-sentado.mp4,Desenvolvimento Halteres Sentado,ombro,Halteres,normal,f65e178d-2fb9-467d-8ec7-153df01be7bb
319,319-desenvolvimento-neutro-halteres-sentado.mp4,Desenvolvimento Neutro Halteres Sentado,ombro,Halteres,normal,77208e72-8b6f-4fdc-99ca-42a18e2889d6
320,320-devil-press.mp4,Devil press,Funcional,Halteres,normal,8e9e3555-13f8-4239-b2f5-66bf7fea7194
321,321-dumbbell-push-press.mp4,Dumbbell push press,Ombros,Halteres,normal,0f30810b-4750-47ca-a7a7-5b01d906119e
322,322-elevacao-frontal-halteres-neutra.mp4,Elevação Frontal Halteres Neutra,ombro,Halteres,normal,713da3c2-14c9-4d74-8f7e-8a35d7ca21dd
323,323-elevacao-lateral-halteres.mp4,Elevação Lateral Halteres,ombro,Halteres,normal,15968ffd-1b58-4859-b181-a8b9485a853c
324,324-elevacao-lateral-halteres-inclinada-sentado.mp4,Elevação Lateral Halteres Inclinada Sentado,ombro,Halteres,normal,ab9d410a-e940-4d2c-b86a-e6b14a581fd7
325,325-elevacao-lateral-halteres-sentado.mp4,Elevação Lateral Halteres Sentado,ombro,Halteres,normal,bac1aae2-266d-4ebc-82ea-1bce6b01e70c
326,326-elevacao-lateral-neutra-halteres.mp4,Elevação Lateral Neutra Halteres,ombro,Halteres,normal,173e23bb-4e7b-484e-b740-304ed542bc76
327,327-encolhimento-halter-com-inclinacao.mp4,Encolhimento Halter com Inclinação,trapézio,Halteres,normal,462ab5a2-c923-4db3-a678-ca82d70e0585
328,328-extensao-de-punho-halteres.mp4,Extensão de Punho Halteres,antebraço,Halteres,normal,d54ef301-c6bb-4d6e-9fd5-f51514817929
329,329-farmers-carry.mp4,Farmers carry,Funcional,Halteres,normal,40613578-d06a-4dd7-99a6-45cdd17ef021
330,330-fisio-cotovelo-pronacao-supinacao-com-peso.mp4,Fisio Cotovelo: pronação/supinação com peso,Fisioterapia,Halteres,normal,c77eabad-753e-41c9-b4c0-c634fa25948b
331,331-fisio-ombro-scaption-full-can.mp4,Fisio Ombro: scaption (full can),Fisioterapia,Halteres,normal,e13dcf55-ea17-4d7b-a53b-2a862b8b7cf6
332,332-fisio-punho-desvio-radial-ulnar-com-peso.mp4,Fisio Punho: desvio radial/ulnar com peso,Fisioterapia,Halteres,normal,382952cd-532d-4096-b056-38a682891a43
333,333-fisio-punho-flexao-extensao-de-punho-com-peso.mp4,Fisio Punho: flexão/extensão de punho com peso,Fisioterapia,Halteres,normal,7a4908fd-df45-44a4-bf30-c6f4a2958769
334,334-fisio-quadril-hip-thrust-unilateral.mp4,Fisio Quadril: hip thrust unilateral,Fisioterapia,Halteres,normal,c943d2d9-f380-4da7-911d-3ac5bec18725
335,335-flexao-de-punho-halteres.mp4,Flexão de Punho Halteres,antebraço,Halteres,normal,479eecd9-1642-4c4c-b9eb-b0a14f11af3a
336,336-landmine-rotation.mp4,Landmine rotation,Core,Halteres,normal,69a6f10a-55a1-4b76-b694-5c2e4bb78523
337,337-man-maker.mp4,Man maker,Funcional,Halteres,normal,c5349a6c-aa4d-4090-afd8-8a17d7cbc520
338,338-passadas-com-halteres.mp4,Passadas com Halteres,Quadríceps,Halteres,normal,605f232f-a42a-42b1-a36d-7e2a884f3af9
339,339-plank-row-remada-na-prancha.mp4,Plank row (remada na prancha),Core,Halteres,normal,5fe82ae3-0ef1-4006-8792-75303f84f1ec
340,340-prancha-medball.mp4,Prancha + medball,Abdômen,Halteres,normal,71a733f9-b478-45b2-ac4b-3e9f8ae2165c
341,341-prancha-alta-passando-halter.mp4,Prancha Alta Passando Halter,abdômen,Halteres,normal,f7ba7031-85e7-4ed6-a68b-c9497ba6f5b6
342,342-pronacao-e-supinacao-halteres.mp4,Pronação e Supinação Halteres,antebraço,Halteres,normal,278dc519-6103-4b04-beac-31cf6cf12fb5
343,343-push-press.mp4,Push press,Funcional,Halteres,normal,58e1cae6-b85a-46d9-8639-291b23f0fbde
344,344-rdl-halteres.mp4,RDL Halteres,posterior de coxa,Halteres,normal,1e9ca66e-a79c-4885-87f0-049742a63266
345,345-recuo-com-halteres-afundo.mp4,Recuo com Halteres ( afundo ),Quadríceps,Halteres,normal,83a07881-8a15-452c-80ff-6a622ca72723
