codigo,arquivo_final,nome_exercicio,grupo_muscular,estacao,prioridade,video_referencia,como_executar
002,002-agachamento-bulgaro-smith.mp4,Agachamento Búlgaro Smith,quadríceps,Barra,ALTA,https://youtu.be/ElT9LZGPumE,
003,003-agachamento-livre-com-barra.mp4,Agachamento livre com barra,Peso Livre,Barra,ALTA,https://youtu.be/rM6SDUdl9fs,
004,004-agachamento-smith.mp4,Agachamento Smith,quadríceps,Barra,ALTA,https://youtu.be/9HTV0LKZnK8,
005,005-barra-fixa-pronada.mp4,Barra Fixa Pronada,costas,Barra,ALTA,https://youtu.be/hxIF6qwBr2M,
006,006-bom-dia-smith.mp4,Bom dia Smith,posterior de coxa,Barra,ALTA,https://youtu.be/KoeI-2kPZ8I,
007,007-flexao-de-punho-na-barra-fixa-ou-antebraco-na-barra-fixa.mp4,Flexão de Punho na Barra Fixa ou Antebraço na Barra Fixa,antebraço,Barra,ALTA,https://youtu.be/W_NaNuH6LxY,
008,008-levantamento-terra.mp4,Levantamento terra,Peso Livre,Barra,ALTA,https://youtu.be/Nf9O-pEl1ok,
009,009-rack-pulls-smith.mp4,Rack Pulls Smith,posterior de coxa,Barra,ALTA,https://youtu.be/d9sK2R95MMM,
010,010-rdl-b-stance-barra.mp4,RDL B-Stance Barra,posterior de coxa,Barra,ALTA,https://youtu.be/GK7aZGipTj0,
011,011-rosca-direta-barra-w.mp4,Rosca Direta Barra W,bíceps,Barra,ALTA,https://youtu.be/V6UEDzY51gY,
012,012-snatch-arranco-com-barra.mp4,Snatch (arranco) com barra,Peso Livre,Barra,ALTA,https://youtu.be/2MtmjfFk9Mk,
013,013-supino-inclinado-barra.mp4,Supino Inclinado Barra,peitoral,Barra,ALTA,https://youtu.be/TIMRYQKVvDk,
014,014-supino-inclinado-smith-com-dead-stop.mp4,Supino Inclinado Smith com Dead Stop,peitoral,Barra,ALTA,https://youtu.be/GoLRAXKW9JY,
015,015-afundo-barra-livre.mp4,Afundo Barra Livre,quadríceps,Barra,normal,https://youtu.be/gkCYtkFvVk8,
016,016-afundo-smith.mp4,Afundo Smith,quadríceps,Barra,normal,https://youtu.be/AtaFjuDV1Vg,
017,017-afundo-smith-2-steps.mp4,Afundo Smith 2 Steps,quadríceps,Barra,normal,https://youtu.be/ImHRc8eMIKQ,
018,018-afundo-smith-com-step-na-frente.mp4,Afundo Smith com Step na Frente,quadríceps,Barra,normal,https://youtu.be/nEXRxKJYruo,
019,019-agachamento-bulgaro-barra-livre.mp4,Agachamento Búlgaro Barra Livre,quadríceps,Barra,normal,https://youtu.be/XZpWTmbcMWY,
020,020-agachamento-frontal.mp4,Agachamento frontal,Peso Livre,Barra,normal,https://youtu.be/syfDrU220FU,
021,021-agachamento-no-banco-smith.mp4,Agachamento no Banco Smith,quadríceps,Barra,normal,https://youtu.be/wlMF223g0YA,
022,022-avanco-com-barra-reta-afundo.mp4,Avanço com Barra Reta ( afundo ),Quadríceps,Barra,normal,https://d2vfutiy2j6sqj.cloudfront.net/115171/mp4/vwclnvm67q_opt.mp4,Importado do MFIT (page-1). Categoria MFIT: Musculação.
023,023-barra-fixa-pull-up.mp4,Barra fixa (pull-up),Peso Corporal,Barra,normal,https://youtu.be/BRvqypT67GA,
024,024-barra-fixa-neutra.mp4,Barra Fixa Neutra,costas,Barra,normal,https://youtu.be/HkxyWLny4_U,
025,025-barra-fixa-supinada.mp4,Barra Fixa Supinada,costas,Barra,normal,https://youtu.be/uECWARnxI_U,
026,026-barra-supinada-chin-up.mp4,Barra supinada (chin-up),Peso Corporal,Barra,normal,https://youtu.be/lIQyTnxze48,
027,027-biset-rosca-direta-rosca-invertida-barra-w.mp4,Biset Rosca Direta + Rosca Invertida Barra W,bíceps,Barra,normal,https://youtu.be/p_Y7Yuv2bdU,
028,028-biset-triceps-testa-supino-fechado-barra.mp4,Biset Tríceps Testa + Supino Fechado Barra,tríceps,Barra,normal,https://youtu.be/LB-HVm8z0Co,
029,029-desenvolvimento-barra-sentado.mp4,Desenvolvimento Barra Sentado,ombro,Barra,normal,https://youtu.be/iYLzUgSvlPg,
030,030-desenvolvimento-militar.mp4,Desenvolvimento militar,Peso Livre,Barra,normal,https://youtu.be/SyJHXzQTtOc,
031,031-desenvolvimento-sentado-smith.mp4,Desenvolvimento Sentado Smith,ombro,Barra,normal,https://youtu.be/hejuwn4kffM,
032,032-drop-jump-barra-plio.mp4,Drop jump barra (plio),Musculação,Barra,normal,https://d2vfutiy2j6sqj.cloudfront.net/115171/mp4/9ud4jm5mpw_opt.mp4,Importado do MFIT (page-1).
033,033-elevacao-frontal-barra.mp4,Elevação Frontal Barra,ombro,Barra,normal,https://youtu.be/mSiGD-Bj6Xk,
034,034-elevacao-pelvica-barra.mp4,Elevação Pélvica Barra,glúteo,Barra,normal,https://youtu.be/ptK0azwOXwM,
035,035-elevacao-pelvica-smith.mp4,Elevação Pélvica Smith,glúteo,Barra,normal,https://youtu.be/rUFayQAac70,
036,036-encolhimento-inclinado-smith.mp4,Encolhimento Inclinado Smith,trapézio,Barra,normal,https://youtu.be/34et7-v21vw,
037,037-encolhimento-overhead-barra.mp4,Encolhimento Overhead Barra,trapézio,Barra,normal,https://youtu.be/kAA_D09oBfI,
038,038-encolhimento-overhead-smith.mp4,Encolhimento Overhead Smith,trapézio,Barra,normal,https://youtu.be/YOY9ie5RJ4Y,
039,039-encolhimento-smith.mp4,Encolhimento Smith,trapézio,Barra,normal,https://youtu.be/34et7-v21vw,
040,040-flexao-aberta-smith.mp4,Flexão Aberta Smith,peitoral,Barra,normal,https://youtu.be/gaBnbo6O3bg,
041,041-flexao-fechada-smith.mp4,Flexão Fechada Smith,tríceps,Barra,normal,https://youtu.be/rqUCLDXorXA,
042,042-good-morning.mp4,Good morning,Peso Livre,Barra,normal,https://youtu.be/vtY9T1-j26Q,
043,043-hang-clean.mp4,Hang clean,Peso Livre,Barra,normal,https://youtu.be/QCQuZITCnPk,
044,044-hip-thrust-com-barra.mp4,Hip thrust com barra,Peso Livre,Barra,normal,https://youtu.be/_i6qpcI1Nw4,
045,045-hip-thrust-explosivo.mp4,Hip thrust explosivo,Performance,Barra,normal,https://youtu.be/da46ZUbxgjg,
046,046-muscle-up-progressao.mp4,Muscle-up (progressão),Peso Corporal,Barra,normal,https://youtu.be/sOTjgPxUCVE,
047,047-panturrilha-smith-com-step.mp4,Panturrilha Smith com Step,panturrilha,Barra,normal,https://youtu.be/IuyHpM4I4eY,
048,048-passada-barra.mp4,Passada Barra,quadríceps,Barra,normal,https://youtu.be/AFg7mj9mXy0,
049,049-passada-com-barra-reta-afundo.mp4,Passada com Barra Reta ( afundo),Quadríceps,Barra,normal,https://d2vfutiy2j6sqj.cloudfront.net/115171/mp4/g9tr7p0ntjs_opt.mp4,Importado do MFIT (page-2). Categoria MFIT: Musculação.
050,050-power-clean.mp4,Power clean,Peso Livre,Barra,normal,https://d2vfutiy2j6sqj.cloudfront.net/115171/mp4/jzti05uhfq_opt.mp4,Importado do MFIT (page-2). Categoria MFIT: Musculação.
051,051-pulldown-barra.mp4,Pulldown barra,costas,Barra,normal,https://youtu.be/Lgr9JqdRp3M,
052,052-rdl-barra.mp4,RDL Barra,posterior de coxa,Barra,normal,https://youtu.be/efc6-uXOWPw,
053,053-recuo-barra-livre.mp4,Recuo Barra Livre,quadríceps,Barra,normal,https://youtu.be/dQ5LCKbQhSE,
054,054-recuo-com-barra-reta-afundo.mp4,Recuo com Barra Reta ( afundo ),Quadríceps,Barra,normal,https://d2vfutiy2j6sqj.cloudfront.net/115171/mp4/h70mxz16ywn_opt.mp4,Importado do MFIT (page-2). Categoria MFIT: Musculação.
055,055-recuo-smith.mp4,Recuo Smith,quadríceps,Barra,normal,https://youtu.be/IbHSNWPBjAA,
056,056-recuo-smith-com-step-na-frente.mp4,Recuo Smith com Step na Frente,quadríceps,Barra,normal,https://youtu.be/nEXRxKJYruo,
057,057-remada-aberta-smith-barra.mp4,Remada aberta Smith/Barra,Dorsal,Barra,normal,https://d2vfutiy2j6sqj.cloudfront.net/115171/mp4/whkhvmf37v_opt.mp4,Importado do MFIT (page-2). Categoria MFIT: Musculação.
058,058-remada-alta-barra.mp4,Remada Alta Barra,ombro,Barra,normal,https://youtu.be/VE7UeEql8cc,
059,059-remada-alta-no-smith.mp4,Remada Alta no Smith,ombro,Barra,normal,https://youtu.be/S8fmAVJaXZI,
060,060-remada-australiana-inverted-row.mp4,Remada australiana (inverted row),Peso Corporal,Barra,normal,https://youtu.be/oPEDi6_ReC0,
061,061-remada-cavalinho.mp4,Remada cavalinho,Peso Livre,Barra,normal,https://youtu.be/pNcsDruTiS4,
062,062-remada-curvada-com-barra.mp4,Remada curvada com barra,Peso Livre,Barra,normal,https://youtu.be/cMQpvkZGQrE,
063,063-remada-curvada-pronada-barra.mp4,Remada Curvada Pronada Barra,costas,Barra,normal,https://youtu.be/QrQYnMJTqRQ,
064,064-remada-curvada-pronada-barra-com-rotacao.mp4,Remada Curvada Pronada Barra com Rotação,costas,Barra,normal,https://youtu.be/QrQYnMJTqRQ,
065,065-remada-curvada-pronada-smith.mp4,Remada Curvada Pronada Smith,costas,Barra,normal,https://youtu.be/89Qq3rll1LE,
066,066-remada-curvada-supinada-barra.mp4,Remada Curvada Supinada Barra,costas,Barra,normal,https://youtu.be/uCtePwiJA1s,
067,067-remada-curvada-supinada-smith.mp4,Remada Curvada Supinada Smith,costas,Barra,normal,https://youtu.be/PvZ1OzYa0Qc,
068,068-rosca-scott-barra.mp4,Rosca Scott Barra,bíceps,Barra,normal,https://youtu.be/WH6IgVJeK68,
069,069-salto-barra-hexagonal-c-contramovimento-pre-plio.mp4,Salto barra Hexagonal c/ contramovimento ( pré plio ),Musculação,Barra,normal,https://d2vfutiy2j6sqj.cloudfront.net/115171/mp4/wsrzsyg1s1_opt.mp4,Importado do MFIT (page-2).
070,070-salto-barra-hexagonal-continuo-pre-plio.mp4,Salto Barra Hexagonal Contínuo ( pré plio ),Musculação,Barra,normal,https://d2vfutiy2j6sqj.cloudfront.net/115171/mp4/622duoq0mh5_opt.mp4,Importado do MFIT (page-2).
071,071-salto-com-barra-hexagonal-s-contramovimento-pre-plio.mp4,Salto com Barra Hexagonal S/ contramovimento ( pré plio ),Musculação,Barra,normal,https://d2vfutiy2j6sqj.cloudfront.net/115171/mp4/9wyrl57o5_opt.mp4,Importado do MFIT (page-2).
072,072-step-up-smith.mp4,Step Up Smith,quadríceps,Barra,normal,https://youtu.be/jwbNZ7_QFU0,
073,073-stiff.mp4,Stiff,Peso Livre,Barra,normal,https://youtu.be/Vjtn6n_-sXo,
074,074-stiff-abduzido-barra.mp4,Stiff Abduzido Barra,posterior de coxa,Barra,normal,https://youtu.be/GK10LP3wAsA,
075,075-stiff-b-stance-barra.mp4,Stiff B-Stance Barra,posterior de coxa,Barra,normal,https://youtu.be/GK7aZGipTj0,
076,076-stiff-barra.mp4,Stiff Barra,posterior de coxa,Barra,normal,https://youtu.be/Vjtn6n_-sXo,
077,077-stiff-com-barra-reta-romanian-deadlift.mp4,Stiff com Barra Reta ( Romanian Deadlift ),Quadríceps,Barra,normal,https://d2vfutiy2j6sqj.cloudfront.net/115171/mp4/c321ohvnyz8_opt.mp4,Importado do MFIT (page-2). Categoria MFIT: Musculação.
078,078-stiff-smith.mp4,Stiff Smith,posterior de coxa,Barra,normal,https://youtu.be/kF84jtRjcjo,
079,079-supino-declinado-barra.mp4,Supino Declinado Barra,peitoral,Barra,normal,https://youtu.be/sAzSNNXt3Rw,
080,080-supino-fechado-barra.mp4,Supino Fechado Barra,tríceps,Barra,normal,https://youtu.be/EoWRCXJuQQA,
081,081-supino-fechado-smith.mp4,Supino Fechado Smith,tríceps,Barra,normal,https://youtu.be/ZiemT4r4DcU,
082,082-supino-inclinado-smith.mp4,Supino Inclinado Smith,peitoral,Barra,normal,https://youtu.be/3pV9sa-kHvg,
083,083-supino-reto-barra.mp4,Supino Reto Barra,peitoral,Barra,normal,https://youtu.be/pCPyqW60Wuk,
084,084-supino-reto-com-barra.mp4,Supino reto com barra,Peso Livre,Barra,normal,https://youtu.be/EZMYCLKuGow,
085,085-supino-reto-smith.mp4,Supino Reto Smith,peitoral,Barra,normal,https://youtu.be/czKoUYNARdI,
086,086-terra-barra-hexagonal.mp4,Terra Barra Hexagonal,Quadríceps,Barra,normal,https://d2vfutiy2j6sqj.cloudfront.net/115171/mp4/uv82bu0vi8_opt.mp4,Importado do MFIT (page-2). Categoria MFIT: Musculação.
